time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
823058749299,-33.48,-178.39,33.0,4.7,,,1.2,,12,SOUTH OF KERMADEC ISLANDS
1072701049799,-22.533,169.535,10.0,4.4,,,1.5,110,16,SOUTHEAST OF THE LOYALTY ISLANDS
1148463221299,51.988,-172.249,3.0,4.6,,,,,22,"ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA. <AEIC>. ML 4.3 (AEIC)."
1299890350900,40.44,139.239,12.0,4.4,,A,0.8,131,29,"NEAR THE WEST COAST OF HONSHU, JAPAN. Recorded (2 JMA) in Aomori."
993379530699,-16.235,-73.972,33.0,4.8,,,1.0,92,73,NEAR COAST OF PERU
852816722299,-8.29,114.86,33.0,3.8,,,0.7,,7,"BALI REGION, INDONESIA"
811559602699,16.32,-98.623,33.0,4.7,4.3,,0.9,,90,"NEAR COAST OF GUERRERO, MEXICO"
843951969199,47.918,147.35,400.0,4.4,,,0.8,,11,NORTHWEST OF KURIL ISLANDS
1175743507500,-16.999,-176.941,31.0,5.1,,A,0.8,85,101,"FIJI REGION. MW 5.7 (GS), 5.6 (GCMT). Moment Tensor (GS): Dep 18 km; Principal axes (scale 10**17 Nm): (T) Val=4.18, Plg=7, Azm=274; (N) Val=0.00, Plg=82, Azm=116; (P) Val=-4.18, Plg=3, Azm=5; Best double couple: Mo=4.2*10**17 Nm; NP1: Strike=50, Dip=83, Slip=3; NP2: Strike=319, Dip=87, Slip=173. Centroid, Moment Tensor (GCMT): Centroid origin time 03:25:08.9; Lat 17.10 S; Lon 176.79 W; Dep 16.2 km; Half-duration 1.5 sec; Principal axes (scale 10**17 Nm): (T) Val=3.40, Plg=14, Azm=281; (N) Val=-0.48, Plg=76, Azm=119; (P) Val=-2.92, Plg=4, Azm=12; Best double couple: Mo=3.2*10**17 Nm; NP1: Strike=57, Dip=77, Slip=7; NP2: Strike=326, Dip=83, Slip=167."
810352527800,-5.318,140.313,10.0,4.0,,,1.0,,14,"IRIAN JAYA, INDONESIA"
1213842398299,12.515,-87.716,72.0,5.0,,A,1.1,47,172,"NEAR THE COAST OF NICARAGUA. MW 5.0 (GCMT). Felt at Managua. Felt (II) at Usulutan, El Salvador. Centroid, Moment Tensor (GCMT): Centroid origin time 02:26:39.6; Lat 12.34 N; Lon 87.94 W; Dep 69.2 km; Half-duration 0.8 sec; Principal axes (scale 10**16 Nm): (T) Val=4.73, Plg=2, Azm=36; (N) Val=-0.29, Plg=5, Azm=126; (P) Val=-4.44, Plg=85, Azm=278; Best double couple: Mo=4.6*10**16 Nm; NP1: Strike=121, Dip=43, Slip=-97; NP2: Strike=310, Dip=48, Slip=-84."
1336585771699,39.153,29.143,6.0,4.0,,,,,54,WESTERN TURKEY. <ISK>. ML 4.5 (ISK).
1189799995600,-24.332,-67.094,160.0,3.9,,A,0.9,101,13,"SALTA, ARGENTINA"
1231976710800,-24.451,179.964,525.0,4.5,,B,1.1,122,21,SOUTH OF THE FIJI ISLANDS
1146473589900,53.666,-163.648,43.0,4.4,,A,1.1,165,51,"UNIMAK ISLAND REGION, ALASKA. ML 3.9 (AEIC)."
1091971337199,19.995,95.728,10.0,4.4,,B,0.7,177,12,MYANMAR
813590836399,-21.25,-174.27,33.0,4.6,,,1.2,,10,TONGA ISLANDS
1167373609000,-10.701,113.855,10.0,5.2,,A,0.8,43,71,"SOUTH OF JAVA, INDONESIA"
1079647831100,15.382,-93.39,42.0,3.5,,,,,11,"OFFSHORE CHIAPAS, MEXICO. <UNM>. MD 4.1 (UNM)."
