time,lat,long,depth,mag_mb,mag_ms,quality,sd,gap,num_stations,comments
956146921300,-52.34,114.894,10.0,3.9,,,0.8,,7,WESTERN INDIAN-ANTARCTIC RIDGE
1055269546000,-15.44,168.15,33.0,4.8,,,0.8,204,34,VANUATU
1159895433899,46.486,153.382,10.0,4.9,,A,0.9,94,115,"KURIL ISLANDS. MW 4.8 (GCMT). Centroid, Moment Tensor (GCMT): Centroid origin time 17:10:38.7; Lat 46.49 N; Lon 153.63 E; Dep 14.2 km; Half-duration 0.6 sec; Principal axes (scale 10**16 Nm): (T) Val=1.67, Plg=70, Azm=245; (N) Val=0.01, Plg=16, Azm=25; (P) Val=-1.68, Plg=12, Azm=118; Best double couple: Mo=1.7*10**16 Nm; NP1: Strike=228, Dip=35, Slip=118; NP2: Strike=15, Dip=59, Slip=72."
1016176054899,51.498,-173.071,33.0,4.1,,,1.2,139,27,"ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA"
1138675408000,39.999,75.937,21.0,3.6,,B,1.4,106,23,"SOUTHERN XINJIANG, CHINA"
1349467374500,-5.432,151.479,79.0,4.7,,A,0.7,99,28,"NEW BRITAIN REGION, PAPUA NEW GUINEA"
1153681138299,-10.42,107.58,10.0,4.3,,C,1.2,203,12,"SOUTH OF JAVA, INDONESIA"
1193083815300,43.122,46.186,88.0,4.2,,A,1.0,92,93,"CAUCASUS REGION, RUSSIA"
1344261125799,31.174,-41.154,10.0,4.6,,A,0.7,107,29,NORTHERN MID-ATLANTIC RIDGE
1076485453599,33.986,91.312,78.0,4.0,,B,1.3,95,13,"SOUTHERN QINGHAI, CHINA"
1098676718500,-5.05,152.78,51.0,4.4,,C,1.1,113,12,"NEW BRITAIN REGION, PAPUA NEW GUINEA"
943017552300,55.299,-161.639,33.0,3.9,,,1.1,,12,ALASKA PENINSULA
1335199379200,32.514,47.067,5.0,4.5,,A,0.7,66,85,IRAN-IRAQ BORDER REGION. mbLg 4.3 (TEH). ML 4.0 (THR).
1188291933399,37.73,21.65,59.0,4.4,,,,,204,"SOUTHERN GREECE. <ATH>. MD 4.8 (PDG), 4.2 (ATH)."
1138079694100,-21.7,-68.33,117.0,3.3,,C,1.7,160,5,"ANTOFAGASTA, CHILE"
1342174675500,-8.552,-74.289,147.0,4.3,,A,0.7,163,45,CENTRAL PERU
1365101902500,33.766,7.698,10.0,4.7,,A,0.8,70,41,NORTHERN ALGERIA
833524474000,36.281,70.157,227.0,3.5,,,0.9,,10,"HINDU KUSH REGION, AFGHANISTAN"
939919578899,54.639,-160.719,33.0,4.5,,,0.9,,39,"ALASKA PENINSULA. ML 4.5 (PMR), 4.2 (AEIC). Felt (III) at Sand Point. Also felt at King Cove."
